transaction_id,user_id,transaction_type,amount,transaction_date
1,4157,withdraw,26819.87,2025-11-10 12:50:07
2,1197,transfer,12831.71,2025-09-10 12:50:07
3,2529,withdraw,18617.91,2025-06-26 12:50:07
4,4201,transfer,39650.18,2025-11-17 12:50:07
5,2942,withdraw,42886.1,2025-07-13 12:50:07
6,999,transfer,26626.25,2025-03-15 12:50:07
7,3684,deposit,15905.09,2025-10-12 12:50:07
8,687,transfer,29138.32,2025-03-08 12:50:07
9,149,transfer,47866.92,2025-09-18 12:50:07
10,1345,deposit,8586.55,2025-07-01 12:50:07
11,3588,withdraw,3843.31,2025-07-11 12:50:07
12,4916,deposit,25340.9,2025-12-03 12:50:07
13,3480,transfer,49072.78,2025-11-13 12:50:07
14,4806,transfer,25790.36,2026-02-25 12:50:07
15,299,transfer,37805.95,2025-03-11 12:50:07
16,9,deposit,11818.22,2026-01-02 12:50:07
17,2488,deposit,49099.92,2025-08-10 12:50:07
18,2441,transfer,17118.07,2025-07-27 12:50:07
19,3041,deposit,2594.12,2025-08-18 12:50:07
20,845,deposit,21535.29,2025-08-07 12:50:07
21,4177,deposit,20885.04,2025-08-29 12:50:07
22,2204,deposit,3684.73,2025-11-08 12:50:07
23,107,deposit,30832.9,2025-10-31 12:50:07
24,701,withdraw,30341.47,2025-09-01 12:50:07
25,4914,deposit,41439.2,2025-12-03 12:50:07
26,3509,deposit,23936.37,2025-05-31 12:50:07
27,2865,withdraw,11914.23,2025-05-13 12:50:07
28,2116,withdraw,7819.07,2025-07-17 12:50:07
29,2419,deposit,12874.75,2026-01-24 12:50:07
30,4435,transfer,11014.31,2026-02-22 12:50:07
31,2063,deposit,19784.47,2026-01-27 12:50:07
32,2842,transfer,48221.54,2026-01-09 12:50:07
33,2446,withdraw,35592.94,2025-03-10 12:50:07
34,4646,transfer,5896.34,2025-07-11 12:50:07
35,325,deposit,42423.15,2026-02-23 12:50:07
36,3431,deposit,23799.86,2025-10-08 12:50:07
37,1753,withdraw,24991.59,2025-12-07 12:50:07
38,243,transfer,6759.91,2025-05-31 12:50:07
39,1620,deposit,20285.26,2026-01-29 12:50:07
40,2678,deposit,10634.19,2025-10-20 12:50:07
41,3674,withdraw,17163.03,2025-10-17 12:50:07
42,2859,deposit,38967.13,2025-11-29 12:50:07
43,2694,deposit,36550.13,2025-03-05 12:50:07
44,4660,deposit,42027.8,2025-07-21 12:50:07
45,637,withdraw,30595.44,2025-04-01 12:50:07
46,4881,withdraw,26518.83,2025-06-14 12:50:07
47,1359,transfer,38650.83,2025-09-29 12:50:07
48,935,transfer,37988.73,2025-12-07 12:50:07
49,4346,transfer,49303.26,2026-01-22 12:50:07
50,4151,withdraw,20881.13,2025-08-10 12:50:07
51,4828,transfer,13368.72,2025-03-12 12:50:07
52,4275,transfer,30243.81,2025-05-06 12:50:07
53,1725,transfer,11212.56,2025-07-26 12:50:07
54,3711,transfer,9090.42,2026-02-08 12:50:07
55,4051,deposit,37379.82,2025-03-16 12:50:07
56,1045,withdraw,3566.39,2025-12-17 12:50:07
57,2607,deposit,1117.4,2026-02-14 12:50:07
58,3609,withdraw,15318.13,2025-07-01 12:50:07
59,3787,withdraw,39111.25,2025-03-23 12:50:07
