user_id,region,operator,registration_date
1,Bohicon,Moov,2025-12-13
2,Cotonou,MTN,2025-04-26
3,Parakou,MTN,2025-03-24
4,Porto-Novo,MTN,2025-05-05
5,Parakou,Celtiis,2025-04-24
6,Porto-Novo,MTN,2025-03-18
7,Abomey,Celtiis,2025-04-15
8,Porto-Novo,Moov,2025-07-06
9,Cotonou,Moov,2026-01-20
10,Porto-Novo,MTN,2025-06-18
11,Bohicon,MTN,2025-03-28
12,Bohicon,Celtiis,2025-03-09
13,Cotonou,MTN,2025-07-31
14,Abomey,Celtiis,2025-09-19
15,Parakou,Moov,2026-01-28
16,Abomey,Celtiis,2025-09-15
17,Abomey,Moov,2025-12-23
18,Abomey,Moov,2025-09-01
19,Parakou,Moov,2025-08-16
20,Parakou,MTN,2025-07-06
21,Bohicon,Celtiis,2025-11-13
22,Bohicon,MTN,2025-10-07
23,Cotonou,Moov,2025-10-13
24,Parakou,MTN,2025-03-29
25,Porto-Novo,MTN,2025-08-09
26,Porto-Novo,MTN,2025-04-29
27,Porto-Novo,Moov,2026-01-07
28,Porto-Novo,Moov,2026-01-27
29,Abomey,Celtiis,2025-08-16
30,Porto-Novo,Celtiis,2025-07-29
31,Cotonou,Celtiis,2025-10-01
32,Porto-Novo,Moov,2025-08-21
33,Cotonou,Moov,2025-08-07
34,Cotonou,Celtiis,2025-03-29
35,Parakou,Celtiis,2025-06-15
36,Bohicon,Moov,2025-08-28
37,Abomey,Celtiis,2025-05-08
38,Parakou,Celtiis,2025-05-26
39,Abomey,MTN,2026-01-08
40,Cotonou,MTN,2026-01-07
41,Cotonou,Celtiis,2025-07-10
42,Parakou,MTN,2025-09-06
43,Cotonou,Moov,2025-07-26
44,Abomey,Moov,2025-03-17
45,Bohicon,Celtiis,2025-04-16
46,Abomey,MTN,2025-07-13
47,Abomey,Celtiis,2026-02-02
48,Cotonou,MTN,2025-08-01
49,Bohicon,MTN,2025-10-18
50,Abomey,MTN,2025-04-16
51,Parakou,Celtiis,2026-02-15
52,Abomey,MTN,2025-11-25
53,Cotonou,Moov,2025-07-16
54,Bohicon,Moov,2025-09-13
55,Parakou,MTN,2025-05-29
56,Parakou,MTN,2025-07-29
57,Cotonou,Celtiis,2025-05-26
58,Abomey,Moov,2025-10-07
59,Bohicon,Celtiis,2026-01-07
60,Porto-Novo,MTN,2025-03-18
61,Porto-Novo,MTN,2026-01-29
62,Cotonou,Moov,2025-03-20
63,Parakou,Celtiis,2026-02-10
64,Cotonou,MTN,2025-09-25
65,Bohicon,MTN,2026-01-13
66,Abomey,MTN,2026-02-07
67,Parakou,Celtiis,2025-11-09
68,Abomey,Moov,2025-11-23
69,Abomey,MTN,2025-03-18
70,Abomey,MTN,2025-03-30
71,Bohicon,MTN,2025-10-12
72,Porto-Novo,MTN,2025-09-16
73,Bohicon,MTN,2025-07-26
74,Porto-Novo,MTN,2025-03-25
75,Abomey,Moov,2025-03-23
76,Abomey,MTN,2025-05-19
77,Cotonou,Celtiis,2025-04-03
78,Abomey,MTN,2025-04-22
79,Cotonou,Celtiis,2026-01-12
80,Porto-Novo,MTN,2025-08-07
81,Abomey,Moov,2025-09-06
82,Bohicon,Moov,2025-10-17
83,Abomey,Moov,2025-07-30
84,Cotonou,Moov,2025-06-09
85,Parakou,Celtiis,2026-02-20
86,Cotonou,Moov,2025-03-22
87,Abomey,Moov,2026-01-13
88,Porto-Novo,Moov,2025-04-01
89,Porto-Novo,MTN,2026-01-07
90,Porto-Novo,Moov,2025-11-27
91,Bohicon,Moov,2026-01-29
92,Abomey,Celtiis,2025-05-01
93,Parakou,Celtiis,2025-04-20
94,Bohicon,Moov,2025-10-16
95,Abomey,MTN,2025-12-01
96,Abomey,Moov,2025-04-28
97,Porto-Novo,Celtiis,2025-10-30
98,Porto-Novo,Moov,2026-01-11
99,Cotonou,Moov,2025-02-27
100,Cotonou,Celtiis,2025-10-19
101,Abomey,MTN,2025-12-27
102,Cotonou,Moov,2025-06-30
103,Porto-Novo,Celtiis,2025-05-29
104,Porto-Novo,MTN,2025-03-19
105,Parakou,Moov,2025-09-14
106,Bohicon,Celtiis,2025-05-02
107,Cotonou,MTN,2026-01-09
108,Parakou,Celtiis,2025-03-06
109,Bohicon,MTN,2025-03-06
110,Porto-Novo,Celtiis,2025-10-09
111,Porto-Novo,Celtiis,2025-11-18
112,Porto-Novo,Celtiis,2026-01-27
113,Abomey,Celtiis,2025-03-12
114,Bohicon,MTN,2025-04-01
115,Bohicon,Moov,2025-04-02
116,Bohicon,Moov,2025-10-08
117,Bohicon,Moov,2026-02-05
118,Abomey,Celtiis,2025-03-24
119,Abomey,Celtiis,2026-02-22
120,Parakou,Moov,2026-01-28
121,Bohicon,Celtiis,2025-09-14
122,Abomey,Moov,2025-10-17
123,Abomey,Moov,2025-10-31
124,Porto-Novo,Celtiis,2025-09-12
125,Cotonou,Celtiis,2025-04-01
126,Bohicon,Celtiis,2025-08-01
127,Abomey,Moov,2025-05-14
128,Cotonou,Celtiis,2025-11-28
129,Parakou,Celtiis,2025-04-21
130,Parakou,Moov,2025-07-01
131,Porto-Novo,MTN,2025-10-13
132,Abomey,MTN,2025-09-30
133,Abomey,Moov,2025-08-16
134,Abomey,Celtiis,2025-03-12
135,Parakou,MTN,2025-03-05
136,Bohicon,Celtiis,2025-10-07
137,Abomey,MTN,2025-05-30
138,Cotonou,Moov,2025-09-22
139,Bohicon,MTN,2025-11-08
140,Cotonou,Celtiis,2026-02-07
141,Porto-Novo,Moov,2025-06-24
142,Porto-Novo,Moov,2025-09-07
143,Porto-Novo,Celtiis,2026-02-14
144,Cotonou,MTN,2025-09-01
145,Bohicon,MTN,2025-12-03
146,Abomey,MTN,2025-11-25
147,Cotonou,MTN,2025-04-15
148,Bohicon,MTN,2025-12-17
149,Cotonou,Moov,2025-07-16
150,Cotonou,Celtiis,2025-11-15
151,Bohicon,Celtiis,2026-02-24
152,Cotonou,MTN,2025-11-22
153,Cotonou,Celtiis,2025-07-03
154,Cotonou,Moov,2026-01-02
155,Parakou,MTN,2025-08-27
156,Parakou,MTN,2025-07-02
157,Porto-Novo,Moov,2025-04-11
158,Porto-Novo,Moov,2025-09-19
159,Parakou,Moov,2025-06-05
160,Bohicon,MTN,2025-05-25
161,Abomey,MTN,2025-06-01
162,Cotonou,Celtiis,2025-10-31
163,Porto-Novo,Celtiis,2025-10-12
164,Parakou,Celtiis,2025-03-14
165,Abomey,Moov,2025-11-28
166,Abomey,MTN,2025-08-20
167,Porto-Novo,Celtiis,2025-06-22
168,Abomey,MTN,2025-08-19
169,Bohicon,MTN,2026-01-21
170,Bohicon,Celtiis,2025-11-23
171,Bohicon,Celtiis,2025-04-20
172,Parakou,Moov,2025-05-10
173,Abomey,Celtiis,2025-07-11
174,Porto-Novo,Celtiis,2025-06-11
175,Porto-Novo,Celtiis,2026-02-09
176,Porto-Novo,Celtiis,2025-10-29
177,Abomey,Moov,2025-05-12
178,Cotonou,Moov,2025-03-23
179,Cotonou,Celtiis,2025-10-08
180,Parakou,Moov,2026-01-30
181,Bohicon,Moov,2026-02-05
182,Cotonou,MTN,2025-10-30
183,Porto-Novo,Celtiis,2025-03-28
184,Parakou,Moov,2025-03-24
185,Abomey,MTN,2025-09-23
186,Bohicon,Moov,2025-10-08
187,Cotonou,MTN,2025-05-21
188,Parakou,Celtiis,2025-04-03
189,Cotonou,MTN,2025-10-08
190,Parakou,Moov,2025-11-12
191,Porto-Novo,Moov,2026-02-11
192,Abomey,MTN,2025-07-24
193,Parakou,Moov,2025-05-07
194,Bohicon,Moov,2026-01-05
195,Cotonou,Celtiis,2025-05-17
196,Cotonou,MTN,2026-01-16
197,Bohicon,Moov,2025-07-07
198,Bohicon,Moov,2025-10-17
199,Porto-Novo,Celtiis,2025-12-02
200,Bohicon,Moov,2025-12-27
201,Porto-Novo,Celtiis,2025-12-14
202,Bohicon,Celtiis,2025-08-16
203,Porto-Novo,MTN,2025-06-30
204,Cotonou,Celtiis,2025-07-20
205,Cotonou,Celtiis,2025-03-13
206,Abomey,MTN,2026-02-17
207,Cotonou,MTN,2025-09-08
208,Porto-Novo,Celtiis,2025-04-06
209,Porto-Novo,Celtiis,2025-03-31
210,Bohicon,MTN,2025-12-21
211,Bohicon,MTN,2025-05-14
212,Cotonou,Celtiis,2025-06-18
213,Cotonou,Moov,2025-06-23
214,Cotonou,Celtiis,2025-09-13
215,Porto-Novo,Moov,2025-06-18
216,Porto-Novo,Moov,2025-07-31
217,Cotonou,Celtiis,2026-01-21
218,Parakou,Celtiis,2025-04-12
219,Cotonou,MTN,2025-07-18
220,Cotonou,Celtiis,2025-08-16
221,Abomey,MTN,2026-02-11
222,Abomey,MTN,2025-06-20
223,Abomey,Celtiis,2025-10-18
224,Bohicon,MTN,2025-09-10
225,Abomey,MTN,2025-12-29
226,Cotonou,MTN,2025-06-26
227,Parakou,Moov,2025-10-23
228,Parakou,Moov,2026-01-22
229,Cotonou,Moov,2025-11-25
230,Cotonou,Celtiis,2025-09-24
231,Bohicon,MTN,2025-10-31
232,Bohicon,Moov,2025-03-17
233,Bohicon,Moov,2025-03-22
234,Porto-Novo,Moov,2025-04-14
235,Cotonou,Celtiis,2025-05-17
236,Abomey,Moov,2026-02-18
237,Bohicon,Celtiis,2025-03-19
238,Cotonou,Moov,2025-09-13
239,Parakou,Celtiis,2025-10-30
240,Abomey,Moov,2025-09-14
241,Parakou,Celtiis,2025-12-16
242,Porto-Novo,MTN,2025-04-06
243,Porto-Novo,Celtiis,2025-03-06
244,Cotonou,Moov,2026-01-05
245,Porto-Novo,Moov,2025-04-06
246,Cotonou,Moov,2026-01-25
247,Abomey,Celtiis,2025-12-26
248,Abomey,Celtiis,2025-04-30
249,Cotonou,Moov,2025-03-04
250,Abomey,Celtiis,2025-03-25
251,Abomey,Celtiis,2025-11-21
252,Porto-Novo,Moov,2025-11-29
253,Parakou,MTN,2025-08-14
254,Parakou,Celtiis,2025-09-18
255,Parakou,Celtiis,2025-07-09
256,Cotonou,Celtiis,2025-12-19
257,Cotonou,MTN,2025-04-15
258,Porto-Novo,MTN,2026-02-21
259,Parakou,Moov,2025-08-01
260,Cotonou,MTN,2025-07-21
261,Porto-Novo,MTN,2026-01-22
262,Bohicon,Moov,2025-11-08
263,Porto-Novo,Celtiis,2025-07-27
264,Cotonou,Celtiis,2025-03-16
265,Bohicon,MTN,2025-03-06
266,Parakou,MTN,2026-02-18
267,Porto-Novo,Celtiis,2025-03-05
268,Abomey,MTN,2026-01-03
269,Abomey,MTN,2025-12-22
270,Abomey,Celtiis,2025-11-30
271,Parakou,Moov,2025-11-15
272,Parakou,Moov,2025-05-23
273,Porto-Novo,Celtiis,2025-11-01
274,Cotonou,MTN,2025-10-07
275,Bohicon,Celtiis,2025-10-25
276,Porto-Novo,Moov,2025-03-17
277,Cotonou,Celtiis,2025-10-27
278,Porto-Novo,Celtiis,2025-07-29
279,Porto-Novo,MTN,2025-07-31
280,Bohicon,MTN,2025-05-31
281,Porto-Novo,MTN,2026-02-15
282,Porto-Novo,Moov,2025-10-24
283,Parakou,MTN,2025-06-12
284,Bohicon,Moov,2025-03-15
285,Abomey,MTN,2025-11-18
286,Cotonou,MTN,2025-11-07
287,Cotonou,Moov,2025-08-13
288,Bohicon,Moov,2026-01-30
289,Parakou,Celtiis,2025-10-19
290,Cotonou,Moov,2025-05-26
291,Cotonou,MTN,2025-07-12
292,Parakou,MTN,2025-12-14
293,Porto-Novo,Moov,2025-07-28
294,Abomey,Celtiis,2025-12-18
295,Cotonou,Moov,2025-04-26
296,Cotonou,Celtiis,2025-11-17
297,Abomey,Celtiis,2025-05-23
298,Parakou,Celtiis,2025-12-17
299,Porto-Novo,Celtiis,2026-01-09
300,Cotonou,MTN,2026-01-05
301,Parakou,MTN,2025-12-04
302,Cotonou,Moov,2025-07-22
303,Parakou,MTN,2025-08-19
304,Bohicon,Moov,2025-09-28
305,Cotonou,Moov,2025-07-30
306,Abomey,MTN,2025-08-10
307,Abomey,MTN,2025-06-02
308,Bohicon,Moov,2025-06-27
309,Parakou,Celtiis,2025-11-25
310,Parakou,MTN,2026-02-23
311,Porto-Novo,Moov,2025-12-15
312,Porto-Novo,MTN,2025-07-31
313,Parakou,Celtiis,2025-11-19
314,Porto-Novo,Moov,2026-02-11
315,Porto-Novo,MTN,2026-02-01
316,Cotonou,MTN,2025-08-14
317,Cotonou,MTN,2026-01-15
318,Cotonou,Moov,2025-03-08
319,Parakou,MTN,2025-10-05
320,Parakou,Celtiis,2025-11-13
321,Bohicon,Moov,2025-08-26
322,Abomey,Moov,2025-03-06
323,Porto-Novo,MTN,2026-02-06
324,Porto-Novo,MTN,2025-06-14
325,Bohicon,MTN,2025-04-12
326,Cotonou,Celtiis,2025-12-04
327,Porto-Novo,MTN,2026-01-24
328,Cotonou,MTN,2025-08-16
329,Bohicon,MTN,2025-11-05
330,Parakou,MTN,2025-10-25
331,Porto-Novo,Moov,2025-10-10
332,Bohicon,Celtiis,2025-08-15
333,Abomey,Moov,2025-06-04
334,Bohicon,Celtiis,2025-04-26
335,Porto-Novo,Moov,2025-08-07
336,Abomey,Moov,2025-12-25
337,Cotonou,Celtiis,2025-11-22
338,Cotonou,Celtiis,2025-04-18
339,Parakou,MTN,2025-07-14
340,Abomey,MTN,2025-11-16
341,Porto-Novo,Celtiis,2025-03-16
342,Abomey,Moov,2025-06-16
343,Bohicon,MTN,2025-07-21
344,Porto-Novo,Celtiis,2025-12-16
345,Cotonou,Celtiis,2025-08-16
346,Cotonou,MTN,2025-08-06
347,Cotonou,Celtiis,2025-03-10
348,Bohicon,Celtiis,2025-10-19
349,Bohicon,Moov,2025-11-20
350,Abomey,Moov,2025-06-06
351,Parakou,Celtiis,2025-11-25
352,Cotonou,MTN,2025-12-16
353,Cotonou,Celtiis,2026-01-26
354,Cotonou,MTN,2026-02-20
355,Abomey,Celtiis,2025-03-20
356,Abomey,Moov,2025-03-08
357,Parakou,MTN,2026-02-09
358,Bohicon,Moov,2025-04-25
359,Porto-Novo,MTN,2025-06-18
360,Parakou,Celtiis,2025-12-02
361,Parakou,MTN,2025-11-20
362,Abomey,Celtiis,2025-08-08
363,Parakou,Moov,2025-12-12
364,Bohicon,MTN,2025-04-25
365,Parakou,Moov,2026-01-20
366,Abomey,Celtiis,2025-09-06
367,Parakou,MTN,2025-09-22
368,Cotonou,MTN,2025-08-14
369,Abomey,Moov,2025-03-12
370,Parakou,Celtiis,2025-03-20
371,Abomey,Celtiis,2025-12-07
372,Cotonou,Moov,2025-07-31
373,Porto-Novo,Moov,2025-12-08
374,Parakou,Moov,2025-07-30
375,Bohicon,MTN,2025-07-20
376,Cotonou,Celtiis,2025-10-29
377,Bohicon,MTN,2025-03-14
378,Cotonou,MTN,2025-06-27
379,Cotonou,MTN,2025-11-15
380,Porto-Novo,Celtiis,2025-06-13
381,Bohicon,Celtiis,2025-10-17
382,Cotonou,Celtiis,2025-12-21
383,Bohicon,Celtiis,2025-11-21
384,Abomey,Celtiis,2025-04-14
385,Porto-Novo,MTN,2025-05-06
386,Parakou,Celtiis,2025-04-01
387,Cotonou,Moov,2026-02-10
388,Bohicon,MTN,2025-12-31
389,Cotonou,Celtiis,2025-10-15
390,Abomey,MTN,2025-04-19
391,Porto-Novo,Moov,2026-02-17
392,Cotonou,Celtiis,2026-02-24
393,Porto-Novo,MTN,2025-03-20
